Precipitation Forecast for Glen County:
2024-10-01: Prediction: 41.26 inches, Lower 4.75 inches, Upper 77.77 inches
2064-10-01: Prediction: 45.00 inches, Lower 3.65 inches, Upper 86.35 inches
2065-10-01: Prediction: 59.43 inches, Lower 18.08 inches, Upper 100.77 inches
2066-10-01: Prediction: 48.56 inches, Lower 7.21 inches, Upper 89.91 inches
2067-10-01: Prediction: 65.40 inches, Lower 24.05 inches, Upper 106.75 inches
2068-10-01: Prediction: 48.06 inches, Lower 6.71 inches, Upper 89.41 inches
2069-10-01: Prediction: 42.21 inches, Lower 0.87 inches, Upper 83.56 inches
2070-10-01: Prediction: 54.88 inches, Lower 13.25 inches, Upper 96.51 inches
2071-10-01: Prediction: 51.23 inches, Lower 9.49 inches, Upper 92.97 inches
2072-10-01: Prediction: 30.63 inches, Lower -12.29 inches, Upper 73.55 inches
2073-10-01: Prediction: 38.12 inches, Lower -4.95 inches, Upper 81.19 inches
2074-10-01: Prediction: 34.88 inches, Lower -8.21 inches, Upper 77.97 inches
2075-10-01: Prediction: 36.28 inches, Lower -6.82 inches, Upper 79.37 inches
2076-10-01: Prediction: 42.79 inches, Lower -0.30 inches, Upper 85.89 inches
2077-10-01: Prediction: 57.22 inches, Lower 14.12 inches, Upper 100.31 inches
2078-10-01: Prediction: 46.35 inches, Lower 3.26 inches, Upper 89.45 inches
2079-10-01: Prediction: 63.19 inches, Lower 20.10 inches, Upper 106.29 inches
2080-10-01: Prediction: 45.86 inches, Lower 2.76 inches, Upper 88.95 inches
2081-10-01: Prediction: 40.01 inches, Lower -3.09 inches, Upper 83.10 inches
2082-10-01: Prediction: 52.67 inches, Lower 9.20 inches, Upper 96.15 inches
2083-10-01: Prediction: 49.02 inches, Lower 5.43 inches, Upper 92.62 inches
2084-10-01: Prediction: 28.43 inches, Lower -16.41 inches, Upper 73.27 inches
2085-10-01: Prediction: 35.91 inches, Lower -9.08 inches, Upper 80.91 inches
2086-10-01: Prediction: 32.67 inches, Lower -12.35 inches, Upper 77.69 inches
2087-10-01: Prediction: 34.07 inches, Lower -10.95 inches, Upper 79.10 inches
2088-10-01: Prediction: 40.59 inches, Lower -4.44 inches, Upper 85.61 inches
2089-10-01: Prediction: 55.01 inches, Lower 9.99 inches, Upper 100.04 inches
2090-10-01: Prediction: 44.15 inches, Lower -0.88 inches, Upper 89.17 inches
2091-10-01: Prediction: 60.98 inches, Lower 15.96 inches, Upper 106.01 inches
2092-10-01: Prediction: 43.65 inches, Lower -1.38 inches, Upper 88.68 inches
2093-10-01: Prediction: 37.80 inches, Lower -7.23 inches, Upper 82.83 inches
2094-10-01: Prediction: 50.47 inches, Lower 4.97 inches, Upper 95.96 inches
2095-10-01: Prediction: 46.82 inches, Lower 1.19 inches, Upper 92.45 inches
2096-10-01: Prediction: 26.22 inches, Lower -20.70 inches, Upper 73.14 inches
2097-10-01: Prediction: 33.71 inches, Lower -13.38 inches, Upper 80.79 inches
2098-10-01: Prediction: 30.47 inches, Lower -16.65 inches, Upper 77.58 inches
2099-10-01: Prediction: 31.87 inches, Lower -15.25 inches, Upper 78.98 inches
2100-10-01: Prediction: 38.38 inches, Lower -8.74 inches, Upper 85.50 inches
2101-10-01: Prediction: 52.81 inches, Lower 5.69 inches, Upper 99.93 inches
2102-10-01: Prediction: 41.94 inches, Lower -5.18 inches, Upper 89.06 inches
2103-10-01: Prediction: 58.78 inches, Lower 11.66 inches, Upper 105.90 inches
