Precipitation Forecast for Plumas County:
2033-10-01: Prediction: 44.46 inches, Lower -352.03 inches, Upper 440.95 inches
2076-10-01: Prediction: 43.57 inches, Lower -389.05 inches, Upper 476.19 inches
2077-10-01: Prediction: 47.29 inches, Lower -386.17 inches, Upper 480.75 inches
2078-10-01: Prediction: 48.96 inches, Lower -385.34 inches, Upper 483.26 inches
2079-10-01: Prediction: 40.75 inches, Lower -394.39 inches, Upper 475.89 inches
2080-10-01: Prediction: 44.25 inches, Lower -391.73 inches, Upper 480.22 inches
2081-10-01: Prediction: 44.89 inches, Lower -391.92 inches, Upper 481.70 inches
2082-10-01: Prediction: 48.35 inches, Lower -389.30 inches, Upper 485.99 inches
2083-10-01: Prediction: 40.21 inches, Lower -398.39 inches, Upper 478.81 inches
2084-10-01: Prediction: 44.77 inches, Lower -394.69 inches, Upper 484.23 inches
2085-10-01: Prediction: 45.57 inches, Lower -394.74 inches, Upper 485.89 inches
2086-10-01: Prediction: 48.36 inches, Lower -392.81 inches, Upper 489.52 inches
2087-10-01: Prediction: 40.51 inches, Lower -401.51 inches, Upper 482.52 inches
2088-10-01: Prediction: 43.68 inches, Lower -399.19 inches, Upper 486.54 inches
2089-10-01: Prediction: 47.40 inches, Lower -396.31 inches, Upper 491.11 inches
2090-10-01: Prediction: 49.06 inches, Lower -395.49 inches, Upper 493.62 inches
2091-10-01: Prediction: 40.85 inches, Lower -404.55 inches, Upper 486.25 inches
2092-10-01: Prediction: 44.36 inches, Lower -401.89 inches, Upper 490.60 inches
2093-10-01: Prediction: 44.99 inches, Lower -402.09 inches, Upper 492.08 inches
2094-10-01: Prediction: 48.45 inches, Lower -399.47 inches, Upper 496.38 inches
2095-10-01: Prediction: 40.32 inches, Lower -408.57 inches, Upper 489.20 inches
2096-10-01: Prediction: 44.87 inches, Lower -404.88 inches, Upper 494.63 inches
2097-10-01: Prediction: 45.68 inches, Lower -404.93 inches, Upper 496.29 inches
2098-10-01: Prediction: 48.46 inches, Lower -403.01 inches, Upper 499.93 inches
2099-10-01: Prediction: 40.61 inches, Lower -411.71 inches, Upper 492.94 inches
2100-10-01: Prediction: 43.78 inches, Lower -409.40 inches, Upper 496.97 inches
2101-10-01: Prediction: 47.50 inches, Lower -406.53 inches, Upper 501.54 inches
2102-10-01: Prediction: 49.17 inches, Lower -405.72 inches, Upper 504.06 inches
2103-10-01: Prediction: 40.96 inches, Lower -414.78 inches, Upper 496.70 inches
2104-10-01: Prediction: 44.46 inches, Lower -412.12 inches, Upper 501.05 inches
2105-10-01: Prediction: 45.10 inches, Lower -412.34 inches, Upper 502.53 inches
2106-10-01: Prediction: 48.56 inches, Lower -409.72 inches, Upper 506.84 inches
2107-10-01: Prediction: 40.42 inches, Lower -418.82 inches, Upper 499.67 inches
2108-10-01: Prediction: 44.98 inches, Lower -415.14 inches, Upper 505.10 inches
2109-10-01: Prediction: 45.78 inches, Lower -415.20 inches, Upper 506.77 inches
2110-10-01: Prediction: 48.57 inches, Lower -413.28 inches, Upper 510.42 inches
2111-10-01: Prediction: 40.72 inches, Lower -422.00 inches, Upper 503.43 inches
2112-10-01: Prediction: 43.89 inches, Lower -419.69 inches, Upper 507.47 inches
