Precipitation Forecast for Modoc County:
2029-10-01: Prediction: 38.10 inches, Lower -9.05 inches, Upper 85.25 inches
2091-10-01: Prediction: 39.96 inches, Lower -15.11 inches, Upper 95.03 inches
2092-10-01: Prediction: 39.50 inches, Lower -15.69 inches, Upper 94.70 inches
2093-10-01: Prediction: 38.39 inches, Lower -16.94 inches, Upper 93.71 inches
2094-10-01: Prediction: 40.37 inches, Lower -15.08 inches, Upper 95.82 inches
2095-10-01: Prediction: 40.45 inches, Lower -15.13 inches, Upper 96.02 inches
2096-10-01: Prediction: 41.77 inches, Lower -13.93 inches, Upper 97.47 inches
2097-10-01: Prediction: 38.38 inches, Lower -17.45 inches, Upper 94.20 inches
2098-10-01: Prediction: 37.49 inches, Lower -18.46 inches, Upper 93.45 inches
2099-10-01: Prediction: 40.60 inches, Lower -15.48 inches, Upper 96.67 inches
2100-10-01: Prediction: 39.93 inches, Lower -16.27 inches, Upper 96.13 inches
2101-10-01: Prediction: 39.86 inches, Lower -16.53 inches, Upper 96.26 inches
2102-10-01: Prediction: 39.19 inches, Lower -17.34 inches, Upper 95.72 inches
2103-10-01: Prediction: 40.25 inches, Lower -16.41 inches, Upper 96.91 inches
2104-10-01: Prediction: 39.80 inches, Lower -16.99 inches, Upper 96.58 inches
2105-10-01: Prediction: 38.68 inches, Lower -18.23 inches, Upper 95.59 inches
2106-10-01: Prediction: 40.67 inches, Lower -16.37 inches, Upper 97.71 inches
2107-10-01: Prediction: 40.74 inches, Lower -16.43 inches, Upper 97.91 inches
2108-10-01: Prediction: 42.06 inches, Lower -15.23 inches, Upper 99.36 inches
