Precipitation Forecast for Trinity County:
2024-10-01: Prediction: 43.24 inches, Lower 6.37 inches, Upper 80.10 inches
2054-10-01: Prediction: 63.08 inches, Lower 25.25 inches, Upper 100.90 inches
2055-10-01: Prediction: 60.83 inches, Lower 23.01 inches, Upper 98.66 inches
2056-10-01: Prediction: 48.49 inches, Lower 10.69 inches, Upper 86.29 inches
2057-10-01: Prediction: 42.50 inches, Lower 4.72 inches, Upper 80.28 inches
2058-10-01: Prediction: 58.93 inches, Lower 21.14 inches, Upper 96.71 inches
2059-10-01: Prediction: 57.17 inches, Lower 19.38 inches, Upper 94.95 inches
2060-10-01: Prediction: 40.44 inches, Lower 1.96 inches, Upper 78.92 inches
2061-10-01: Prediction: 40.34 inches, Lower 1.87 inches, Upper 78.81 inches
2062-10-01: Prediction: 47.86 inches, Lower 9.39 inches, Upper 86.33 inches
2063-10-01: Prediction: 40.32 inches, Lower 1.85 inches, Upper 78.79 inches
2064-10-01: Prediction: 53.68 inches, Lower 15.21 inches, Upper 92.15 inches
2065-10-01: Prediction: 61.56 inches, Lower 23.09 inches, Upper 100.03 inches
2066-10-01: Prediction: 62.06 inches, Lower 23.59 inches, Upper 100.53 inches
2067-10-01: Prediction: 59.81 inches, Lower 21.34 inches, Upper 98.28 inches
2068-10-01: Prediction: 47.47 inches, Lower 8.97 inches, Upper 85.97 inches
2069-10-01: Prediction: 41.48 inches, Lower 3.00 inches, Upper 79.96 inches
2070-10-01: Prediction: 57.91 inches, Lower 19.43 inches, Upper 96.39 inches
2071-10-01: Prediction: 56.15 inches, Lower 17.66 inches, Upper 94.63 inches
2072-10-01: Prediction: 39.42 inches, Lower 0.20 inches, Upper 78.65 inches
2073-10-01: Prediction: 39.32 inches, Lower 0.11 inches, Upper 78.53 inches
2074-10-01: Prediction: 46.84 inches, Lower 7.63 inches, Upper 86.05 inches
2075-10-01: Prediction: 39.30 inches, Lower 0.09 inches, Upper 78.51 inches
2076-10-01: Prediction: 52.66 inches, Lower 13.45 inches, Upper 91.87 inches
2077-10-01: Prediction: 60.54 inches, Lower 21.33 inches, Upper 99.75 inches
2078-10-01: Prediction: 61.04 inches, Lower 21.83 inches, Upper 100.25 inches
2079-10-01: Prediction: 58.79 inches, Lower 19.58 inches, Upper 98.00 inches
2080-10-01: Prediction: 46.45 inches, Lower 7.16 inches, Upper 85.74 inches
2081-10-01: Prediction: 40.46 inches, Lower 1.18 inches, Upper 79.73 inches
2082-10-01: Prediction: 56.89 inches, Lower 17.61 inches, Upper 96.16 inches
2083-10-01: Prediction: 55.13 inches, Lower 15.85 inches, Upper 94.40 inches
2084-10-01: Prediction: 38.40 inches, Lower -1.65 inches, Upper 78.46 inches
2085-10-01: Prediction: 38.30 inches, Lower -1.74 inches, Upper 78.33 inches
2086-10-01: Prediction: 45.82 inches, Lower 5.79 inches, Upper 85.86 inches
2087-10-01: Prediction: 38.28 inches, Lower -1.76 inches, Upper 78.32 inches
2088-10-01: Prediction: 51.64 inches, Lower 11.60 inches, Upper 91.68 inches
2089-10-01: Prediction: 59.52 inches, Lower 19.48 inches, Upper 99.56 inches
2090-10-01: Prediction: 60.02 inches, Lower 19.98 inches, Upper 100.06 inches
2091-10-01: Prediction: 57.77 inches, Lower 17.73 inches, Upper 97.81 inches
2092-10-01: Prediction: 45.43 inches, Lower 5.26 inches, Upper 85.61 inches
2093-10-01: Prediction: 39.44 inches, Lower -0.71 inches, Upper 79.59 inches
2094-10-01: Prediction: 55.87 inches, Lower 15.71 inches, Upper 96.02 inches
2095-10-01: Prediction: 54.11 inches, Lower 13.95 inches, Upper 94.26 inches
2096-10-01: Prediction: 37.38 inches, Lower -3.59 inches, Upper 78.35 inches
2097-10-01: Prediction: 37.28 inches, Lower -3.67 inches, Upper 78.23 inches
2098-10-01: Prediction: 44.80 inches, Lower 3.85 inches, Upper 85.76 inches
2099-10-01: Prediction: 37.26 inches, Lower -3.69 inches, Upper 78.21 inches
2100-10-01: Prediction: 50.62 inches, Lower 9.67 inches, Upper 91.57 inches
2101-10-01: Prediction: 58.50 inches, Lower 17.55 inches, Upper 99.45 inches
2102-10-01: Prediction: 59.00 inches, Lower 18.05 inches, Upper 99.95 inches
2103-10-01: Prediction: 56.75 inches, Lower 15.80 inches, Upper 97.71 inches
