Precipitation Forecast for Boulder Creek Station:
2024-10-01: Prediction: 22.27 inches, Lower -23730155731.12 inches, Upper 23730155775.67 inches
2054-10-01: Prediction: 42.08 inches, Lower -92705042711.80 inches, Upper 92705042795.96 inches
2055-10-01: Prediction: 50.38 inches, Lower -95245467181.61 inches, Upper 95245467282.38 inches
2056-10-01: Prediction: 35.63 inches, Lower -97746754449.41 inches, Upper 97746754520.66 inches
2057-10-01: Prediction: 42.80 inches, Lower -100173300942.15 inches, Upper 100173301027.75 inches
2058-10-01: Prediction: 49.97 inches, Lower -102548076154.85 inches, Upper 102548076254.78 inches
2059-10-01: Prediction: 57.14 inches, Lower -104866504802.13 inches, Upper 104866504916.41 inches
2060-10-01: Prediction: 42.53 inches, Lower -114377708998.39 inches, Upper 114377709083.45 inches
2061-10-01: Prediction: 49.78 inches, Lower -116389494609.13 inches, Upper 116389494708.70 inches
2062-10-01: Prediction: 40.78 inches, Lower -120936976465.14 inches, Upper 120936976546.70 inches
2063-10-01: Prediction: 44.80 inches, Lower -124035864454.02 inches, Upper 124035864543.62 inches
2064-10-01: Prediction: 52.20 inches, Lower -127620872847.40 inches, Upper 127620872951.79 inches
2065-10-01: Prediction: 71.15 inches, Lower -130846054031.94 inches, Upper 130846054174.24 inches
2066-10-01: Prediction: 48.83 inches, Lower -134112286092.89 inches, Upper 134112286190.56 inches
2067-10-01: Prediction: 57.14 inches, Lower -137246255389.84 inches, Upper 137246255504.12 inches
2068-10-01: Prediction: 42.38 inches, Lower -140335213827.26 inches, Upper 140335213912.02 inches
2069-10-01: Prediction: 49.55 inches, Lower -143346158701.62 inches, Upper 143346158800.72 inches
2070-10-01: Prediction: 56.72 inches, Lower -146300413258.67 inches, Upper 146300413372.11 inches
2071-10-01: Prediction: 63.89 inches, Lower -149193760760.27 inches, Upper 149193760888.05 inches
2072-10-01: Prediction: 49.28 inches, Lower -158319961995.05 inches, Upper 158319962093.61 inches
2073-10-01: Prediction: 56.54 inches, Lower -160928448733.68 inches, Upper 160928448846.75 inches
2074-10-01: Prediction: 47.53 inches, Lower -165864426014.70 inches, Upper 165864426109.76 inches
2075-10-01: Prediction: 51.55 inches, Lower -169488853139.33 inches, Upper 169488853242.43 inches
2076-10-01: Prediction: 58.95 inches, Lower -173554898951.10 inches, Upper 173554899069.00 inches
2077-10-01: Prediction: 77.90 inches, Lower -177286550793.34 inches, Upper 177286550949.14 inches
2078-10-01: Prediction: 55.58 inches, Lower -181051186451.16 inches, Upper 181051186562.33 inches
2079-10-01: Prediction: 63.89 inches, Lower -184688430731.15 inches, Upper 184688430858.93 inches
2080-10-01: Prediction: 49.13 inches, Lower -188278682894.05 inches, Upper 188278682992.31 inches
2081-10-01: Prediction: 56.30 inches, Lower -191791026628.66 inches, Upper 191791026741.26 inches
2082-10-01: Prediction: 63.47 inches, Lower -195245126275.26 inches, Upper 195245126402.20 inches
2083-10-01: Prediction: 70.64 inches, Lower -198636899437.74 inches, Upper 198636899579.02 inches
2084-10-01: Prediction: 56.03 inches, Lower -207583971671.41 inches, Upper 207583971783.48 inches
2085-10-01: Prediction: 63.29 inches, Lower -210711322374.32 inches, Upper 210711322500.90 inches
2086-10-01: Prediction: 54.28 inches, Lower -215993073260.55 inches, Upper 215993073369.12 inches
2087-10-01: Prediction: 58.30 inches, Lower -220072013384.08 inches, Upper 220072013500.69 inches
2088-10-01: Prediction: 65.70 inches, Lower -224557481532.95 inches, Upper 224557481664.35 inches
2089-10-01: Prediction: 84.65 inches, Lower -228730837137.30 inches, Upper 228730837306.61 inches
2090-10-01: Prediction: 62.34 inches, Lower -232931969057.33 inches, Upper 232931969182.00 inches
2091-10-01: Prediction: 70.64 inches, Lower -237011268218.74 inches, Upper 237011268360.02 inches
2092-10-01: Prediction: 55.88 inches, Lower -241043347438.40 inches, Upper 241043347550.17 inches
2093-10-01: Prediction: 63.05 inches, Lower -244999014336.28 inches, Upper 244999014462.39 inches
2094-10-01: Prediction: 70.22 inches, Lower -248896464275.05 inches, Upper 248896464415.50 inches
2095-10-01: Prediction: 77.39 inches, Lower -252731674501.97 inches, Upper 252731674656.76 inches
2096-10-01: Prediction: 62.79 inches, Lower -261615637651.52 inches, Upper 261615637777.09 inches
2097-10-01: Prediction: 70.04 inches, Lower -265204069561.35 inches, Upper 265204069701.44 inches
2098-10-01: Prediction: 61.04 inches, Lower -270803524121.08 inches, Upper 270803524243.15 inches
2099-10-01: Prediction: 65.06 inches, Lower -275287761518.72 inches, Upper 275287761648.83 inches
2100-10-01: Prediction: 72.45 inches, Lower -280150250108.09 inches, Upper 280150250252.99 inches
2101-10-01: Prediction: 91.41 inches, Lower -284719705875.02 inches, Upper 284719706057.83 inches
2102-10-01: Prediction: 69.09 inches, Lower -289313346258.92 inches, Upper 289313346397.09 inches
2103-10-01: Prediction: 77.39 inches, Lower -293790581589.18 inches, Upper 293790581743.97 inches
