Precipitation Forecast for Shaffer Mountain Station:
2024-10-01: Prediction: 7.55 inches, Lower -0.51 inches, Upper 15.61 inches
2048-10-01: Prediction: 9.81 inches, Lower -22.52 inches, Upper 42.14 inches
2049-10-01: Prediction: 11.91 inches, Lower -21.20 inches, Upper 45.02 inches
2050-10-01: Prediction: 11.72 inches, Lower -23.54 inches, Upper 46.97 inches
2051-10-01: Prediction: 20.56 inches, Lower -15.65 inches, Upper 56.76 inches
2052-10-01: Prediction: 18.03 inches, Lower -19.88 inches, Upper 55.95 inches
2053-10-01: Prediction: 23.32 inches, Lower -15.62 inches, Upper 62.26 inches
2054-10-01: Prediction: 17.87 inches, Lower -22.53 inches, Upper 58.26 inches
2055-10-01: Prediction: 20.23 inches, Lower -21.23 inches, Upper 61.68 inches
2056-10-01: Prediction: 13.84 inches, Lower -28.90 inches, Upper 56.58 inches
2057-10-01: Prediction: 14.86 inches, Lower -28.93 inches, Upper 58.66 inches
2058-10-01: Prediction: 17.49 inches, Lower -27.48 inches, Upper 62.46 inches
2059-10-01: Prediction: 20.34 inches, Lower -25.67 inches, Upper 66.35 inches
2060-10-01: Prediction: 10.98 inches, Lower -37.94 inches, Upper 59.89 inches
2061-10-01: Prediction: 13.07 inches, Lower -36.89 inches, Upper 63.04 inches
2062-10-01: Prediction: 12.88 inches, Lower -39.34 inches, Upper 65.10 inches
2063-10-01: Prediction: 21.72 inches, Lower -31.71 inches, Upper 75.15 inches
2064-10-01: Prediction: 19.20 inches, Lower -36.12 inches, Upper 74.51 inches
2065-10-01: Prediction: 24.48 inches, Lower -32.11 inches, Upper 81.08 inches
2066-10-01: Prediction: 19.03 inches, Lower -39.22 inches, Upper 77.28 inches
2067-10-01: Prediction: 21.39 inches, Lower -38.16 inches, Upper 80.94 inches
2068-10-01: Prediction: 15.00 inches, Lower -46.05 inches, Upper 76.06 inches
2069-10-01: Prediction: 16.03 inches, Lower -46.32 inches, Upper 78.37 inches
2070-10-01: Prediction: 18.65 inches, Lower -45.09 inches, Upper 82.40 inches
2071-10-01: Prediction: 21.50 inches, Lower -43.51 inches, Upper 86.52 inches
2072-10-01: Prediction: 12.14 inches, Lower -55.79 inches, Upper 80.06 inches
2073-10-01: Prediction: 14.24 inches, Lower -54.97 inches, Upper 83.45 inches
2074-10-01: Prediction: 14.04 inches, Lower -57.53 inches, Upper 85.61 inches
2075-10-01: Prediction: 22.88 inches, Lower -50.12 inches, Upper 95.89 inches
2076-10-01: Prediction: 20.36 inches, Lower -54.68 inches, Upper 95.40 inches
2077-10-01: Prediction: 25.65 inches, Lower -50.89 inches, Upper 102.18 inches
2078-10-01: Prediction: 20.19 inches, Lower -58.18 inches, Upper 98.56 inches
2079-10-01: Prediction: 22.55 inches, Lower -57.32 inches, Upper 102.43 inches
2080-10-01: Prediction: 16.17 inches, Lower -65.40 inches, Upper 97.74 inches
2081-10-01: Prediction: 17.19 inches, Lower -65.88 inches, Upper 100.25 inches
2082-10-01: Prediction: 19.82 inches, Lower -64.84 inches, Upper 104.48 inches
2083-10-01: Prediction: 22.67 inches, Lower -63.46 inches, Upper 108.80 inches
2084-10-01: Prediction: 13.30 inches, Lower -75.78 inches, Upper 102.38 inches
2085-10-01: Prediction: 15.40 inches, Lower -75.16 inches, Upper 105.96 inches
2086-10-01: Prediction: 15.20 inches, Lower -77.83 inches, Upper 108.24 inches
2087-10-01: Prediction: 24.05 inches, Lower -70.61 inches, Upper 118.70 inches
2088-10-01: Prediction: 21.52 inches, Lower -75.32 inches, Upper 118.36 inches
2089-10-01: Prediction: 26.81 inches, Lower -71.71 inches, Upper 125.33 inches
2090-10-01: Prediction: 21.35 inches, Lower -79.16 inches, Upper 121.87 inches
2091-10-01: Prediction: 23.72 inches, Lower -78.48 inches, Upper 125.92 inches
2092-10-01: Prediction: 17.33 inches, Lower -86.73 inches, Upper 121.39 inches
2093-10-01: Prediction: 18.35 inches, Lower -87.39 inches, Upper 124.09 inches
2094-10-01: Prediction: 20.98 inches, Lower -86.53 inches, Upper 128.49 inches
2095-10-01: Prediction: 23.83 inches, Lower -85.33 inches, Upper 132.99 inches
2096-10-01: Prediction: 14.46 inches, Lower -97.70 inches, Upper 126.63 inches
2097-10-01: Prediction: 16.56 inches, Lower -97.27 inches, Upper 130.39 inches
2098-10-01: Prediction: 16.37 inches, Lower -100.04 inches, Upper 132.78 inches
2099-10-01: Prediction: 25.21 inches, Lower -92.99 inches, Upper 143.41 inches
2100-10-01: Prediction: 22.69 inches, Lower -97.83 inches, Upper 143.20 inches
2101-10-01: Prediction: 27.97 inches, Lower -94.39 inches, Upper 150.33 inches
2102-10-01: Prediction: 22.52 inches, Lower -101.98 inches, Upper 147.02 inches
2103-10-01: Prediction: 24.88 inches, Lower -101.48 inches, Upper 151.24 inches
