Precipitation Forecast for Lights Creek Station:
2024-10-01: Prediction: 16.31 inches, Lower -6.42 inches, Upper 39.04 inches
2056-10-01: Prediction: 22.69 inches, Lower -0.91 inches, Upper 46.29 inches
2057-10-01: Prediction: 20.72 inches, Lower -2.87 inches, Upper 44.31 inches
2058-10-01: Prediction: 29.52 inches, Lower 5.98 inches, Upper 53.05 inches
2059-10-01: Prediction: 29.31 inches, Lower 5.76 inches, Upper 52.85 inches
2060-10-01: Prediction: 13.17 inches, Lower -10.96 inches, Upper 37.29 inches
2061-10-01: Prediction: 19.14 inches, Lower -4.94 inches, Upper 43.23 inches
2062-10-01: Prediction: 16.79 inches, Lower -7.30 inches, Upper 40.89 inches
2063-10-01: Prediction: 18.36 inches, Lower -5.74 inches, Upper 42.45 inches
2064-10-01: Prediction: 19.68 inches, Lower -4.41 inches, Upper 43.78 inches
2065-10-01: Prediction: 30.28 inches, Lower 6.18 inches, Upper 54.37 inches
2066-10-01: Prediction: 29.07 inches, Lower 4.98 inches, Upper 53.17 inches
2067-10-01: Prediction: 32.09 inches, Lower 8.00 inches, Upper 56.18 inches
2068-10-01: Prediction: 21.14 inches, Lower -2.95 inches, Upper 45.24 inches
2069-10-01: Prediction: 19.17 inches, Lower -4.96 inches, Upper 43.31 inches
2070-10-01: Prediction: 27.97 inches, Lower 3.90 inches, Upper 52.05 inches
2071-10-01: Prediction: 27.76 inches, Lower 3.68 inches, Upper 51.84 inches
2072-10-01: Prediction: 11.62 inches, Lower -13.09 inches, Upper 36.33 inches
2073-10-01: Prediction: 17.59 inches, Lower -7.06 inches, Upper 42.25 inches
2074-10-01: Prediction: 15.25 inches, Lower -9.42 inches, Upper 39.91 inches
2075-10-01: Prediction: 16.81 inches, Lower -7.86 inches, Upper 41.47 inches
2076-10-01: Prediction: 18.14 inches, Lower -6.53 inches, Upper 42.80 inches
2077-10-01: Prediction: 28.73 inches, Lower 4.06 inches, Upper 53.40 inches
2078-10-01: Prediction: 27.53 inches, Lower 2.86 inches, Upper 52.19 inches
2079-10-01: Prediction: 30.54 inches, Lower 5.88 inches, Upper 55.21 inches
2080-10-01: Prediction: 19.60 inches, Lower -5.07 inches, Upper 44.26 inches
2081-10-01: Prediction: 17.63 inches, Lower -7.13 inches, Upper 42.38 inches
2082-10-01: Prediction: 26.42 inches, Lower 1.73 inches, Upper 51.11 inches
2083-10-01: Prediction: 26.21 inches, Lower 1.51 inches, Upper 50.91 inches
2084-10-01: Prediction: 10.07 inches, Lower -15.28 inches, Upper 35.43 inches
2085-10-01: Prediction: 16.05 inches, Lower -9.25 inches, Upper 41.35 inches
2086-10-01: Prediction: 13.70 inches, Lower -11.61 inches, Upper 39.01 inches
2087-10-01: Prediction: 15.26 inches, Lower -10.05 inches, Upper 40.57 inches
2088-10-01: Prediction: 16.59 inches, Lower -8.72 inches, Upper 41.90 inches
2089-10-01: Prediction: 27.18 inches, Lower 1.87 inches, Upper 52.49 inches
2090-10-01: Prediction: 25.98 inches, Lower 0.67 inches, Upper 51.29 inches
2091-10-01: Prediction: 29.00 inches, Lower 3.69 inches, Upper 54.31 inches
2092-10-01: Prediction: 18.05 inches, Lower -7.26 inches, Upper 43.36 inches
2093-10-01: Prediction: 16.08 inches, Lower -9.37 inches, Upper 41.53 inches
2094-10-01: Prediction: 24.88 inches, Lower -0.50 inches, Upper 50.25 inches
2095-10-01: Prediction: 24.67 inches, Lower -0.72 inches, Upper 50.05 inches
2096-10-01: Prediction: 8.53 inches, Lower -17.55 inches, Upper 34.60 inches
2097-10-01: Prediction: 14.50 inches, Lower -11.51 inches, Upper 40.51 inches
2098-10-01: Prediction: 12.15 inches, Lower -13.87 inches, Upper 38.18 inches
2099-10-01: Prediction: 13.72 inches, Lower -12.31 inches, Upper 39.74 inches
2100-10-01: Prediction: 15.04 inches, Lower -10.98 inches, Upper 41.07 inches
2101-10-01: Prediction: 25.64 inches, Lower -0.39 inches, Upper 51.66 inches
2102-10-01: Prediction: 24.44 inches, Lower -1.59 inches, Upper 50.46 inches
2103-10-01: Prediction: 27.45 inches, Lower 1.43 inches, Upper 53.47 inches
