Precipitation Forecast for Crowder Flat Station:
2024-10-01: Prediction: 15.20 inches, Lower 5.01 inches, Upper 25.38 inches
2068-10-01: Prediction: 17.02 inches, Lower 6.01 inches, Upper 28.03 inches
2069-10-01: Prediction: 12.08 inches, Lower 1.02 inches, Upper 23.13 inches
2070-10-01: Prediction: 15.41 inches, Lower 4.35 inches, Upper 26.48 inches
2071-10-01: Prediction: 16.31 inches, Lower 5.24 inches, Upper 27.37 inches
2072-10-01: Prediction: 13.08 inches, Lower 1.71 inches, Upper 24.45 inches
2073-10-01: Prediction: 12.92 inches, Lower 1.54 inches, Upper 24.29 inches
2074-10-01: Prediction: 12.36 inches, Lower 0.99 inches, Upper 23.74 inches
2075-10-01: Prediction: 14.61 inches, Lower 3.23 inches, Upper 25.98 inches
2076-10-01: Prediction: 13.20 inches, Lower 1.83 inches, Upper 24.57 inches
2077-10-01: Prediction: 18.36 inches, Lower 6.99 inches, Upper 29.73 inches
2078-10-01: Prediction: 14.52 inches, Lower 3.14 inches, Upper 25.89 inches
2079-10-01: Prediction: 18.07 inches, Lower 6.70 inches, Upper 29.44 inches
2080-10-01: Prediction: 16.50 inches, Lower 5.12 inches, Upper 27.87 inches
2081-10-01: Prediction: 11.55 inches, Lower 0.11 inches, Upper 23.00 inches
2082-10-01: Prediction: 14.89 inches, Lower 3.44 inches, Upper 26.34 inches
2083-10-01: Prediction: 15.78 inches, Lower 4.33 inches, Upper 27.23 inches
2084-10-01: Prediction: 12.56 inches, Lower 0.79 inches, Upper 24.33 inches
2085-10-01: Prediction: 12.39 inches, Lower 0.61 inches, Upper 24.17 inches
2086-10-01: Prediction: 11.84 inches, Lower 0.06 inches, Upper 23.62 inches
2087-10-01: Prediction: 14.08 inches, Lower 2.30 inches, Upper 25.86 inches
2088-10-01: Prediction: 12.68 inches, Lower 0.90 inches, Upper 24.46 inches
2089-10-01: Prediction: 17.84 inches, Lower 6.06 inches, Upper 29.62 inches
2090-10-01: Prediction: 13.99 inches, Lower 2.21 inches, Upper 25.77 inches
2091-10-01: Prediction: 17.54 inches, Lower 5.77 inches, Upper 29.32 inches
2092-10-01: Prediction: 15.97 inches, Lower 4.19 inches, Upper 27.75 inches
2093-10-01: Prediction: 11.03 inches, Lower -0.84 inches, Upper 22.90 inches
2094-10-01: Prediction: 14.36 inches, Lower 2.48 inches, Upper 26.24 inches
2095-10-01: Prediction: 15.26 inches, Lower 3.38 inches, Upper 27.14 inches
2096-10-01: Prediction: 12.03 inches, Lower -0.18 inches, Upper 24.24 inches
2097-10-01: Prediction: 11.87 inches, Lower -0.35 inches, Upper 24.09 inches
2098-10-01: Prediction: 11.31 inches, Lower -0.91 inches, Upper 23.54 inches
2099-10-01: Prediction: 13.56 inches, Lower 1.34 inches, Upper 25.78 inches
2100-10-01: Prediction: 12.15 inches, Lower -0.07 inches, Upper 24.37 inches
2101-10-01: Prediction: 17.31 inches, Lower 5.09 inches, Upper 29.53 inches
2102-10-01: Prediction: 13.47 inches, Lower 1.25 inches, Upper 25.69 inches
2103-10-01: Prediction: 17.02 inches, Lower 4.80 inches, Upper 29.24 inches
