Precipitation Forecast for Dodge Reservoir Station:
2024-10-01: Prediction: 11.46 inches, Lower 3.84 inches, Upper 19.09 inches
2080-10-01: Prediction: 19.16 inches, Lower 3.55 inches, Upper 34.76 inches
2081-10-01: Prediction: 17.88 inches, Lower 2.18 inches, Upper 33.59 inches
2082-10-01: Prediction: 20.39 inches, Lower 4.56 inches, Upper 36.21 inches
2083-10-01: Prediction: 20.57 inches, Lower 4.62 inches, Upper 36.52 inches
2084-10-01: Prediction: 15.60 inches, Lower -0.71 inches, Upper 31.91 inches
2085-10-01: Prediction: 17.07 inches, Lower 0.64 inches, Upper 33.50 inches
2086-10-01: Prediction: 16.41 inches, Lower -0.17 inches, Upper 33.00 inches
2087-10-01: Prediction: 17.07 inches, Lower 0.34 inches, Upper 33.80 inches
2088-10-01: Prediction: 18.51 inches, Lower 1.63 inches, Upper 35.38 inches
2089-10-01: Prediction: 21.49 inches, Lower 4.47 inches, Upper 38.51 inches
2090-10-01: Prediction: 19.59 inches, Lower 2.43 inches, Upper 36.75 inches
2091-10-01: Prediction: 23.36 inches, Lower 6.05 inches, Upper 40.66 inches
2092-10-01: Prediction: 19.90 inches, Lower 2.39 inches, Upper 37.40 inches
2093-10-01: Prediction: 18.63 inches, Lower 1.02 inches, Upper 36.23 inches
2094-10-01: Prediction: 21.13 inches, Lower 3.39 inches, Upper 38.86 inches
2095-10-01: Prediction: 21.31 inches, Lower 3.46 inches, Upper 39.16 inches
2096-10-01: Prediction: 16.34 inches, Lower -1.87 inches, Upper 34.55 inches
2097-10-01: Prediction: 17.81 inches, Lower -0.52 inches, Upper 36.14 inches
2098-10-01: Prediction: 17.15 inches, Lower -1.33 inches, Upper 35.64 inches
2099-10-01: Prediction: 17.81 inches, Lower -0.82 inches, Upper 36.44 inches
2100-10-01: Prediction: 19.25 inches, Lower 0.47 inches, Upper 38.03 inches
2101-10-01: Prediction: 22.23 inches, Lower 3.31 inches, Upper 41.16 inches
2102-10-01: Prediction: 20.33 inches, Lower 1.26 inches, Upper 39.40 inches
2103-10-01: Prediction: 24.10 inches, Lower 4.88 inches, Upper 43.31 inches
