Precipitation Forecast for Granite Springs Station:
2024-10-01: Prediction: 15.86 inches, Lower -487048079.44 inches, Upper 487048111.16 inches
2061-10-01: Prediction: 36.45 inches, Lower -4273625618.76 inches, Upper 4273625691.66 inches
2062-10-01: Prediction: 30.83 inches, Lower -4446502161.20 inches, Upper 4446502222.87 inches
2063-10-01: Prediction: 35.31 inches, Lower -4594137852.93 inches, Upper 4594137923.55 inches
2064-10-01: Prediction: 39.77 inches, Lower -4746168761.99 inches, Upper 4746168841.53 inches
2065-10-01: Prediction: 55.72 inches, Lower -4889074462.81 inches, Upper 4889074574.26 inches
2066-10-01: Prediction: 41.41 inches, Lower -5030058999.20 inches, Upper 5030059082.01 inches
2067-10-01: Prediction: 44.62 inches, Lower -5166152684.16 inches, Upper 5166152773.39 inches
2068-10-01: Prediction: 30.58 inches, Lower -5299262605.26 inches, Upper 5299262666.42 inches
2069-10-01: Prediction: 36.72 inches, Lower -5428860033.65 inches, Upper 5428860107.08 inches
2070-10-01: Prediction: 42.86 inches, Lower -5555557404.54 inches, Upper 5555557490.26 inches
2071-10-01: Prediction: 49.00 inches, Lower -5679369088.57 inches, Upper 5679369186.57 inches
2072-10-01: Prediction: 36.35 inches, Lower -5918852000.23 inches, Upper 5918852072.92 inches
2073-10-01: Prediction: 41.57 inches, Lower -6077153498.69 inches, Upper 6077153581.83 inches
2074-10-01: Prediction: 35.96 inches, Lower -6265010522.42 inches, Upper 6265010594.33 inches
2075-10-01: Prediction: 40.43 inches, Lower -6430658997.29 inches, Upper 6430659078.16 inches
2076-10-01: Prediction: 44.89 inches, Lower -6600236422.76 inches, Upper 6600236512.54 inches
2077-10-01: Prediction: 60.85 inches, Lower -6761585533.77 inches, Upper 6761585655.46 inches
2078-10-01: Prediction: 46.53 inches, Lower -6921116640.22 inches, Upper 6921116733.28 inches
2079-10-01: Prediction: 49.74 inches, Lower -7076098385.92 inches, Upper 7076098485.40 inches
2080-10-01: Prediction: 35.70 inches, Lower -7228225568.81 inches, Upper 7228225640.21 inches
2081-10-01: Prediction: 41.84 inches, Lower -7376986484.50 inches, Upper 7376986568.18 inches
2082-10-01: Prediction: 47.98 inches, Lower -7522919245.24 inches, Upper 7522919341.20 inches
2083-10-01: Prediction: 54.12 inches, Lower -7666018934.49 inches, Upper 7666019042.73 inches
2084-10-01: Prediction: 41.47 inches, Lower -7912980706.31 inches, Upper 7912980789.25 inches
2085-10-01: Prediction: 46.69 inches, Lower -8087886362.74 inches, Upper 8087886456.13 inches
2086-10-01: Prediction: 41.08 inches, Lower -8289597700.14 inches, Upper 8289597782.29 inches
2087-10-01: Prediction: 45.56 inches, Lower -8471283894.76 inches, Upper 8471283985.87 inches
2088-10-01: Prediction: 50.01 inches, Lower -8656560071.09 inches, Upper 8656560171.12 inches
2089-10-01: Prediction: 65.97 inches, Lower -8834299214.62 inches, Upper 8834299346.55 inches
2090-10-01: Prediction: 51.65 inches, Lower -9010323899.48 inches, Upper 9010324002.78 inches
2091-10-01: Prediction: 54.86 inches, Lower -9182092775.81 inches, Upper 9182092885.53 inches
2092-10-01: Prediction: 40.83 inches, Lower -9351140866.80 inches, Upper 9351140948.46 inches
2093-10-01: Prediction: 46.96 inches, Lower -9516972900.75 inches, Upper 9516972994.67 inches
2094-10-01: Prediction: 53.10 inches, Lower -9680069756.43 inches, Upper 9680069862.63 inches
2095-10-01: Prediction: 59.24 inches, Lower -9840411847.97 inches, Upper 9840411966.46 inches
2096-10-01: Prediction: 46.59 inches, Lower -10095784746.50 inches, Upper 10095784839.69 inches
2097-10-01: Prediction: 51.82 inches, Lower -10285770446.04 inches, Upper 10285770549.67 inches
2098-10-01: Prediction: 46.20 inches, Lower -10500450716.56 inches, Upper 10500450808.96 inches
2099-10-01: Prediction: 50.68 inches, Lower -10696765581.21 inches, Upper 10696765682.57 inches
2100-10-01: Prediction: 55.13 inches, Lower -10896408418.89 inches, Upper 10896408529.16 inches
2101-10-01: Prediction: 71.09 inches, Lower -11089063277.92 inches, Upper 11089063420.10 inches
2102-10-01: Prediction: 56.77 inches, Lower -11280097581.26 inches, Upper 11280097694.81 inches
2103-10-01: Prediction: 59.98 inches, Lower -11467125878.56 inches, Upper 11467125998.52 inches
